model,localization,patch_site,N,topk,w_rf
Qwen1.5-14B-Chat,verse-long,o_proj_in,8,0.1,0.0
Qwen1.5-14B-Chat,verse-long,o_proj_in,8,0.5,0.0
Qwen1.5-14B-Chat,verse-long,o_proj_in,8,1.0,0.0
Qwen1.5-14B-Chat,verse-long,o_proj_in,10,0.01,0.92
Qwen1.5-14B-Chat,verse-long,o_proj_in,10,0.03,0.96
Qwen1.5-14B-Chat,verse-long,o_proj_in,10,0.05,0.0
Qwen1.5-14B-Chat,verse-long,o_proj_in,10,0.07,0.0
Qwen1.5-14B-Chat,verse-long,o_proj_in,10,0.09,0.0
Qwen1.5-14B-Chat,verse-long,o_proj_in,10,0.1,0.0
Qwen1.5-14B-Chat,verse-long,o_proj_in,10,0.5,0.0
Qwen1.5-14B-Chat,verse-long,o_proj_in,10,1.0,0.0
Qwen1.5-14B-Chat,verse-single,o_proj_out,1,0.01,0.06
Qwen1.5-14B-Chat,verse-single,o_proj_out,1,0.03,0.08
Qwen1.5-14B-Chat,verse-single,o_proj_out,1,0.05,0.04
Qwen1.5-14B-Chat,verse-single,o_proj_out,1,0.07,0.06
Qwen1.5-14B-Chat,verse-single,o_proj_out,1,0.09,0.04
Qwen1.5-14B-Chat,verse-single,o_proj_out,1,0.1,0.06
Qwen1.5-14B-Chat,verse-single,o_proj_out,1,0.5,0.0
Qwen1.5-14B-Chat,verse-single,o_proj_out,1,1.0,0.0
Qwen1.5-14B-Chat,verse-single,o_proj_out,2,0.01,0.06
Qwen1.5-14B-Chat,verse-single,o_proj_out,2,0.03,0.06
Qwen1.5-14B-Chat,verse-single,o_proj_out,2,0.05,0.06
Qwen1.5-14B-Chat,verse-single,o_proj_out,2,0.07,0.04
Qwen1.5-14B-Chat,verse-single,o_proj_out,2,0.09,0.02
Qwen1.5-14B-Chat,verse-single,o_proj_out,2,0.1,0.04
Qwen1.5-14B-Chat,verse-single,o_proj_out,2,0.5,0.0
Qwen1.5-14B-Chat,verse-single,o_proj_out,2,1.0,0.0
Qwen1.5-14B-Chat,verse-single,o_proj_out,4,0.01,0.04
Qwen1.5-14B-Chat,verse-single,o_proj_out,4,0.03,0.02
Qwen1.5-14B-Chat,verse-single,o_proj_out,4,0.05,0.04
Qwen1.5-14B-Chat,verse-single,o_proj_out,4,0.07,0.04
Qwen1.5-14B-Chat,verse-single,o_proj_out,4,0.09,0.02
Qwen1.5-14B-Chat,verse-single,o_proj_out,4,0.1,0.02
Qwen1.5-14B-Chat,verse-single,o_proj_out,4,0.5,0.0
Qwen1.5-14B-Chat,verse-single,o_proj_out,4,1.0,0.0
Qwen1.5-14B-Chat,verse-single,o_proj_out,5,0.01,0.04
Qwen1.5-14B-Chat,verse-single,o_proj_out,5,0.03,0.02
Qwen1.5-14B-Chat,verse-single,o_proj_out,5,0.05,0.04
Qwen1.5-14B-Chat,verse-single,o_proj_out,5,0.07,0.06
Qwen1.5-14B-Chat,verse-single,o_proj_out,5,0.09,0.02
Qwen1.5-14B-Chat,verse-single,o_proj_out,5,0.1,0.02
Qwen1.5-14B-Chat,verse-single,o_proj_out,5,0.5,0.0
Qwen1.5-14B-Chat,verse-single,o_proj_out,5,1.0,0.0
Qwen1.5-14B-Chat,verse-single,o_proj_out,6,0.01,0.06
Qwen1.5-14B-Chat,verse-single,o_proj_out,6,0.03,0.02
Qwen1.5-14B-Chat,verse-single,o_proj_out,6,0.05,0.04
Qwen1.5-14B-Chat,verse-single,o_proj_out,6,0.07,0.06
Qwen1.5-14B-Chat,verse-single,o_proj_out,6,0.09,0.0
Qwen1.5-14B-Chat,verse-single,o_proj_out,6,0.1,0.0
Qwen1.5-14B-Chat,verse-single,o_proj_out,6,0.5,0.0
Qwen1.5-14B-Chat,verse-single,o_proj_out,6,1.0,0.0
Qwen1.5-14B-Chat,verse-single,o_proj_out,8,0.01,0.06
Qwen1.5-14B-Chat,verse-single,o_proj_out,8,0.03,0.02
Qwen1.5-14B-Chat,verse-single,o_proj_out,8,0.05,0.12
Qwen1.5-14B-Chat,verse-single,o_proj_out,8,0.07,0.0
Qwen1.5-14B-Chat,verse-single,o_proj_out,8,0.09,0.0
Qwen1.5-14B-Chat,verse-single,o_proj_out,8,0.1,0.0
Qwen1.5-14B-Chat,verse-single,o_proj_out,8,0.5,0.0
Qwen1.5-14B-Chat,verse-single,o_proj_out,8,1.0,0.0
Qwen1.5-14B-Chat,verse-single,o_proj_out,10,0.01,0.04
Qwen1.5-14B-Chat,verse-single,o_proj_out,10,0.03,0.02
Qwen1.5-14B-Chat,verse-single,o_proj_out,10,0.05,0.0
Qwen1.5-14B-Chat,verse-single,o_proj_out,10,0.07,0.0
Qwen1.5-14B-Chat,verse-single,o_proj_out,10,0.09,0.0
Qwen1.5-14B-Chat,verse-single,o_proj_out,10,0.1,0.0
Qwen1.5-14B-Chat,verse-single,o_proj_out,10,0.5,0.0
Qwen1.5-14B-Chat,verse-single,o_proj_out,10,1.0,0.0
Qwen1.5-14B-Chat,verse-single,o_proj_in,1,0.01,0.06
Qwen1.5-14B-Chat,verse-single,o_proj_in,1,0.03,0.04
Qwen1.5-14B-Chat,verse-single,o_proj_in,1,0.05,0.06
Qwen1.5-14B-Chat,verse-single,o_proj_in,1,0.07,0.06
Qwen1.5-14B-Chat,verse-single,o_proj_in,1,0.09,0.04
Qwen1.5-14B-Chat,verse-single,o_proj_in,1,0.1,0.06
Qwen1.5-14B-Chat,verse-single,o_proj_in,1,0.5,0.0
Qwen1.5-14B-Chat,verse-single,o_proj_in,1,1.0,0.0
Qwen1.5-14B-Chat,verse-single,o_proj_in,2,0.01,0.06
Qwen1.5-14B-Chat,verse-single,o_proj_in,2,0.03,0.04
Qwen1.5-14B-Chat,verse-single,o_proj_in,2,0.05,0.04
Qwen1.5-14B-Chat,verse-single,o_proj_in,2,0.07,0.04
Qwen1.5-14B-Chat,verse-single,o_proj_in,2,0.09,0.04
Qwen1.5-14B-Chat,verse-single,o_proj_in,2,0.1,0.08
Qwen1.5-14B-Chat,verse-single,o_proj_in,2,0.5,0.0
Qwen1.5-14B-Chat,verse-single,o_proj_in,2,1.0,0.0
Qwen1.5-14B-Chat,verse-single,o_proj_in,4,0.01,0.06
Qwen1.5-14B-Chat,verse-single,o_proj_in,4,0.03,0.04
Qwen1.5-14B-Chat,verse-single,o_proj_in,4,0.05,0.02
Qwen1.5-14B-Chat,verse-single,o_proj_in,4,0.07,0.02
Qwen1.5-14B-Chat,verse-single,o_proj_in,4,0.09,0.04
Qwen1.5-14B-Chat,verse-single,o_proj_in,4,0.1,0.04
Qwen1.5-14B-Chat,verse-single,o_proj_in,4,0.5,0.0
Qwen1.5-14B-Chat,verse-single,o_proj_in,4,1.0,0.0
Qwen1.5-14B-Chat,verse-single,o_proj_in,5,0.01,0.04
Qwen1.5-14B-Chat,verse-single,o_proj_in,5,0.03,0.04
Qwen1.5-14B-Chat,verse-single,o_proj_in,5,0.05,0.02
Qwen1.5-14B-Chat,verse-single,o_proj_in,5,0.07,0.04
Qwen1.5-14B-Chat,verse-single,o_proj_in,5,0.09,0.04
Qwen1.5-14B-Chat,verse-single,o_proj_in,5,0.1,0.0
Qwen1.5-14B-Chat,verse-single,o_proj_in,5,0.5,0.0
Qwen1.5-14B-Chat,verse-single,o_proj_in,5,1.0,0.0
Qwen1.5-14B-Chat,verse-single,o_proj_in,6,0.01,0.04
Qwen1.5-14B-Chat,verse-single,o_proj_in,6,0.03,0.04
Qwen1.5-14B-Chat,verse-single,o_proj_in,6,0.05,0.04
Qwen1.5-14B-Chat,verse-single,o_proj_in,6,0.07,0.0
Qwen1.5-14B-Chat,verse-single,o_proj_in,6,0.09,0.0
Qwen1.5-14B-Chat,verse-single,o_proj_in,6,0.1,0.0
Qwen1.5-14B-Chat,verse-single,o_proj_in,6,0.5,0.0
Qwen1.5-14B-Chat,verse-single,o_proj_in,6,1.0,0.0
Qwen1.5-14B-Chat,verse-single,o_proj_in,8,0.01,0.04
Qwen1.5-14B-Chat,verse-single,o_proj_in,8,0.03,0.12
Qwen1.5-14B-Chat,verse-single,o_proj_in,8,0.05,0.02
Qwen1.5-14B-Chat,verse-single,o_proj_in,8,0.07,0.0
Qwen1.5-14B-Chat,verse-single,o_proj_in,8,0.09,0.0
Qwen1.5-14B-Chat,verse-single,o_proj_in,8,0.1,0.0
Qwen1.5-14B-Chat,verse-single,o_proj_in,8,0.5,0.0
