model,family,task,localization,eval_mode,metric,arm,seed,method,topk,accuracy,best_steering_factor
Falcon3-10B-Instruct,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,real,,atp,0.03,0.64,20.0
Falcon3-10B-Instruct,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,real,,atp,0.05,0.58,10.0
Falcon3-10B-Instruct,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,real,,atp,0.07,0.66,10.0
Falcon3-10B-Instruct,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,real,,atp,0.09,0.6,10.0
Falcon3-10B-Instruct,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,real,,atp,0.1,0.58,10.0
Falcon3-10B-Instruct,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,real,,atp,0.5,0.72,2.0
Falcon3-10B-Instruct,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,real,,atp,1.0,0.76,1.0
Falcon3-10B-Instruct,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,uniform,0.0,random-s0,0.01,0.3,15.0
Falcon3-10B-Instruct,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,uniform,0.0,random-s0,0.03,0.48,20.0
Falcon3-10B-Instruct,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,uniform,0.0,random-s0,0.05,0.48,20.0
Falcon3-10B-Instruct,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,uniform,0.0,random-s0,0.07,0.48,20.0
Falcon3-10B-Instruct,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,uniform,0.0,random-s0,0.09,0.48,10.0
Falcon3-10B-Instruct,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,uniform,0.0,random-s0,0.1,0.6,20.0
Falcon3-10B-Instruct,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,uniform,0.0,random-s0,0.5,0.5,2.0
Falcon3-10B-Instruct,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,uniform,0.0,random-s0,1.0,0.78,1.0
Falcon3-10B-Instruct,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.01,0.38,20.0
Falcon3-10B-Instruct,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.03,0.52,20.0
Falcon3-10B-Instruct,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.05,0.64,15.0
Falcon3-10B-Instruct,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.07,0.62,15.0
Falcon3-10B-Instruct,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.09,0.64,15.0
Falcon3-10B-Instruct,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.1,0.62,10.0
Falcon3-10B-Instruct,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.5,0.52,2.0
Falcon3-10B-Instruct,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,layer-matched,0.0,randomlayer-s0,1.0,0.78,1.0
Falcon3-10B-Instruct,paragraph,from_paragraph-single_to_sentence,single-token,long,w_rf,real,,atp,0.01,0.12,10.0
Falcon3-10B-Instruct,paragraph,from_paragraph-single_to_sentence,single-token,long,w_rf,real,,atp,0.03,0.16,5.0
Falcon3-10B-Instruct,paragraph,from_paragraph-single_to_sentence,single-token,long,w_rf,real,,atp,0.05,0.18,20.0
Falcon3-10B-Instruct,paragraph,from_paragraph-single_to_sentence,single-token,long,w_rf,real,,atp,0.07,0.12,4.0
Falcon3-10B-Instruct,paragraph,from_paragraph-single_to_sentence,single-token,long,w_rf,real,,atp,0.09,0.22,10.0
Falcon3-10B-Instruct,paragraph,from_paragraph-single_to_sentence,single-token,long,w_rf,real,,atp,0.1,0.2,20.0
Falcon3-10B-Instruct,paragraph,from_paragraph-single_to_sentence,single-token,long,w_rf,real,,atp,0.5,0.14,2.0
Falcon3-10B-Instruct,paragraph,from_paragraph-single_to_sentence,single-token,long,w_rf,real,,atp,1.0,0.14,1.0
Falcon3-10B-Instruct,paragraph,from_paragraph-single_to_sentence,single-token,long,w_rf,uniform,0.0,random-s0,0.01,0.0,1.0
Falcon3-10B-Instruct,paragraph,from_paragraph-single_to_sentence,single-token,long,w_rf,uniform,0.0,random-s0,0.03,0.02,6.0
Falcon3-10B-Instruct,paragraph,from_paragraph-single_to_sentence,single-token,long,w_rf,uniform,0.0,random-s0,0.05,0.04,15.0
Falcon3-10B-Instruct,paragraph,from_paragraph-single_to_sentence,single-token,long,w_rf,uniform,0.0,random-s0,0.07,0.02,15.0
Falcon3-10B-Instruct,paragraph,from_paragraph-single_to_sentence,single-token,long,w_rf,uniform,0.0,random-s0,0.09,0.04,10.0
Falcon3-10B-Instruct,paragraph,from_paragraph-single_to_sentence,single-token,long,w_rf,uniform,0.0,random-s0,0.1,0.06,10.0
Falcon3-10B-Instruct,paragraph,from_paragraph-single_to_sentence,single-token,long,w_rf,uniform,0.0,random-s0,0.5,0.06,2.0
Falcon3-10B-Instruct,paragraph,from_paragraph-single_to_sentence,single-token,long,w_rf,uniform,0.0,random-s0,1.0,0.02,1.0
Falcon3-10B-Instruct,paragraph,from_paragraph-single_to_sentence,single-token,long,w_rf,layer-matched,0.0,randomlayer-s0,0.01,0.02,20.0
Falcon3-10B-Instruct,paragraph,from_paragraph-single_to_sentence,single-token,long,w_rf,layer-matched,0.0,randomlayer-s0,0.03,0.04,8.0
Falcon3-10B-Instruct,paragraph,from_paragraph-single_to_sentence,single-token,long,w_rf,layer-matched,0.0,randomlayer-s0,0.05,0.06,20.0
Falcon3-10B-Instruct,paragraph,from_paragraph-single_to_sentence,single-token,long,w_rf,layer-matched,0.0,randomlayer-s0,0.07,0.02,15.0
Falcon3-10B-Instruct,paragraph,from_paragraph-single_to_sentence,single-token,long,w_rf,layer-matched,0.0,randomlayer-s0,0.09,0.04,10.0
Falcon3-10B-Instruct,paragraph,from_paragraph-single_to_sentence,single-token,long,w_rf,layer-matched,0.0,randomlayer-s0,0.1,0.04,20.0
Falcon3-10B-Instruct,paragraph,from_paragraph-single_to_sentence,single-token,long,w_rf,layer-matched,0.0,randomlayer-s0,0.5,0.04,1.0
Falcon3-10B-Instruct,paragraph,from_paragraph-single_to_sentence,single-token,long,w_rf,layer-matched,0.0,randomlayer-s0,1.0,0.04,1.0
Falcon3-10B-Instruct,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,real,,atp,0.01,0.38,15.0
Falcon3-10B-Instruct,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,real,,atp,0.03,0.46,20.0
Falcon3-10B-Instruct,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,real,,atp,0.05,0.54,20.0
Falcon3-10B-Instruct,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,real,,atp,0.07,0.62,20.0
Falcon3-10B-Instruct,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,real,,atp,0.09,0.54,20.0
Falcon3-10B-Instruct,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,real,,atp,0.1,0.54,20.0
Falcon3-10B-Instruct,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,real,,atp,0.5,0.5,1.0
Falcon3-10B-Instruct,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,real,,atp,1.0,0.76,1.0
Falcon3-10B-Instruct,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,uniform,0.0,random-s0,0.01,0.3,15.0
Falcon3-10B-Instruct,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,uniform,0.0,random-s0,0.03,0.48,20.0
Falcon3-10B-Instruct,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,uniform,0.0,random-s0,0.05,0.48,20.0
Falcon3-10B-Instruct,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,uniform,0.0,random-s0,0.07,0.48,20.0
Falcon3-10B-Instruct,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,uniform,0.0,random-s0,0.09,0.48,10.0
Falcon3-10B-Instruct,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,uniform,0.0,random-s0,0.1,0.6,20.0
Falcon3-10B-Instruct,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,uniform,0.0,random-s0,0.5,0.5,2.0
Falcon3-10B-Instruct,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,uniform,0.0,random-s0,1.0,0.78,1.0
Falcon3-10B-Instruct,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.01,0.34,20.0
Falcon3-10B-Instruct,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.03,0.36,15.0
Falcon3-10B-Instruct,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.05,0.44,20.0
Falcon3-10B-Instruct,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.07,0.38,20.0
Falcon3-10B-Instruct,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.09,0.54,20.0
Falcon3-10B-Instruct,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.1,0.58,20.0
Falcon3-10B-Instruct,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.5,0.48,1.0
Falcon3-10B-Instruct,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,layer-matched,0.0,randomlayer-s0,1.0,0.78,1.0
