layer,neuron,value
13,4,0.3109683
13,11,0.50406617
13,14,0.82753175
14,32,0.77713865
15,36,0.3603418
16,5,0.8046289
16,13,0.3577002
16,19,0.47551468
16,38,0.67529297
17,5,5.6892185
17,10,0.33702514
17,21,1.0246044
17,22,0.39085937
17,38,0.3597171
18,3,1.3161426
18,6,0.4401921
18,8,0.30413085
18,9,0.3294629
18,12,0.3592676
18,16,0.32536134
18,17,0.30889344
18,21,0.3008252
18,24,0.48697877
18,29,0.3106954
18,30,0.35471192
19,1,2.0483203
19,17,2.1128516
19,30,0.5917114
20,23,0.9529102
20,31,3.1984375
20,38,0.35112303
21,0,0.7544043
21,10,0.5734375
21,18,0.8286523
21,32,1.1447656
21,36,0.8221729
21,39,0.5740774
22,14,1.5536329
22,35,0.34644532
22,36,0.32017577
23,0,0.41273087
23,2,0.31881836
23,7,0.46096984
23,8,0.8683594
23,14,0.71884763
23,34,0.40758485
24,9,0.41789064
24,16,0.52740234
24,17,0.34782228
24,18,0.30453613
24,19,0.32944337
24,26,0.39194244
24,30,0.99714845
24,33,0.4668164
25,6,0.5442871
25,13,0.6433838
25,14,0.65597653
25,28,0.75490236
25,30,0.33072266
25,36,0.3991797
25,37,0.33799803
26,23,1.2274219
26,26,0.40134767
27,37,2.9884374
28,12,0.31516603
28,18,0.7532422
28,30,0.92164063
28,36,2.2479687
29,37,0.48289064
30,10,0.67285156
30,14,0.7720508
32,24,0.31574464
32,39,0.39615235
33,14,0.44964844
33,28,0.5484375
34,11,0.53585935
34,33,0.7900195
36,33,0.38203126
37,9,0.48048827
37,30,0.3010254
