layer,neuron,value
2,38,0.10471619
6,14,0.07463531
7,1,0.07762634
7,39,0.085081786
8,14,0.13456543
8,28,0.19044434
9,0,0.22830689
9,23,0.07731781
9,34,0.10007324
10,0,0.64879197
10,8,0.09125053
10,26,0.088378906
10,34,0.07870476
11,0,0.079961546
11,10,0.23637573
11,20,0.1063765
11,29,0.09156006
12,2,0.28801757
12,3,0.2940869
12,10,0.25890136
12,18,0.28560057
12,19,0.24768066
12,23,0.16385499
12,24,0.12116699
13,0,0.11323974
13,2,1.4787891
13,5,0.08945717
13,6,0.8338184
13,9,0.11279198
13,16,0.16876464
13,18,0.1679126
13,21,0.13150924
13,24,0.2208496
13,26,0.39023438
13,35,0.42432618
14,0,0.31443158
14,1,0.12456665
14,5,0.12123047
14,18,0.5858496
14,23,0.12825225
14,25,0.074666135
14,29,0.4679004
14,31,0.084052734
14,36,0.42186522
14,37,0.11668579
15,5,0.44987306
15,7,0.21410157
15,15,0.07493507
15,17,0.095703274
15,22,1.743711
15,27,0.094004825
15,29,0.42128906
15,33,0.27618653
15,34,0.08804688
15,35,0.1366333
15,38,0.10315422
16,14,0.115682065
16,15,0.39734375
16,19,0.24459961
16,23,0.37993163
16,27,0.870918
16,30,0.69693357
16,36,0.21129882
16,39,0.5667871
17,2,0.39177245
17,4,0.11395508
17,12,1.555
17,19,0.39056152
17,32,0.076394044
17,33,0.7822461
17,35,1.1704199
17,36,0.08018799
18,1,0.09379151
18,4,0.24024414
18,6,0.18394043
18,22,0.5996875
18,36,0.20460205
18,37,0.13540527
18,39,0.39470702
19,30,0.43993163
19,31,0.763125
20,2,0.23969726
20,19,0.3519922
20,20,0.12582764
20,27,0.082494505
22,22,0.4775
23,17,0.09679199
23,21,0.31432617
24,9,0.18320069
25,1,0.97716796
25,15,0.19604737
26,9,0.5313086
26,19,0.72918946
26,22,0.46529296
27,7,0.11256592
27,8,0.25145507
27,26,0.9327734
27,35,0.9543555
28,0,0.37719727
28,11,0.34595704
28,33,0.33855468
31,6,0.6474316
32,0,0.08204712
32,35,0.07689942
33,4,0.17512451
33,5,0.6173975
33,31,0.50177735
35,5,0.6378613
36,21,0.12709473
37,21,0.15819336
37,27,0.07827618
38,31,0.6351953
