layer,neuron,value
10,2,0.3267804
10,6,0.32731447
11,6,0.34924316
11,9,0.32134065
12,2,0.655708
12,8,0.6151031
13,2,0.32294923
14,11,0.6655957
15,1,0.3530049
15,8,0.40401855
15,10,0.44900513
16,1,1.1256958
16,4,1.550586
17,2,1.3058593
17,3,1.0605469
17,7,0.78111327
18,2,0.3875589
18,3,0.41420165
18,7,1.378496
18,11,0.3664874
19,0,0.3022345
19,11,0.76416016
20,8,0.3591043
20,10,0.7289063
20,11,1.8089062
21,2,0.5675879
21,10,0.61732423
21,11,0.3160315
23,0,1.79125
23,2,0.637168
24,0,1.2516211
24,2,0.54904944
28,7,1.0669922
28,9,0.31065917
29,1,0.41380492
32,5,0.31693053
33,0,0.39842772
33,2,0.77771485
33,8,0.35502928
34,11,0.7856055
38,1,0.75783205
39,2,0.35260832
39,6,0.6078125
