layer,neuron,value
12,2,8.40709
12,5,3.7778306
13,6,3.93036
16,10,3.3617663
16,12,5.215005
17,12,6.777095
18,0,7.3213673
18,2,5.3382325
18,4,6.4952736
18,5,3.3766139
18,15,3.3181396
19,0,4.934721
19,6,5.999004
19,7,5.3758497
19,15,3.3562732
20,0,14.891562
20,4,26.409962
20,10,5.477195
21,0,5.846865
21,2,8.272285
21,3,19.335918
21,8,5.8609767
21,13,3.49959
21,14,11.458897
22,3,3.7320654
22,5,11.42534
22,12,3.6629298
22,15,19.050938
23,6,23.845
23,8,4.4048243
23,9,12.747969
23,14,5.1058106
24,5,11.882071
24,9,15.656347
24,11,5.5568066
24,12,18.222187
25,7,38.7475
25,11,4.0426173
25,13,3.4054737
26,5,5.062857
26,8,11.326543
27,3,8.729936
27,9,5.538955
29,6,4.928081
30,13,9.636587
30,15,5.8713474
31,9,4.7177734
32,11,3.7238648
33,5,6.2898827
36,1,6.9442577
43,3,8.4320755
45,10,5.0083203
47,8,4.3469143
